customerID,probabilidade_churn,classificacao_churn,faixa_risco,Churn_real,Contract,tenure,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,acao_recomendada
4912-PIGUY,0.851626461140615,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,84.6,84.6,Contato prioritario com oferta de retencao e revisao de plano
8603-IJWDN,0.8515582587904372,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,86.6,86.6,Contato prioritario com oferta de retencao e revisao de plano
9282-IZGQK,0.8515582587904372,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,85.0,85,Contato prioritario com oferta de retencao e revisao de plano
3178-FESZO,0.8507600141709412,1,critico,Yes,Month-to-month,1,Fiber optic,Credit card (automatic),100.25,100.25,Contato prioritario com oferta de retencao e revisao de plano
3988-RQIXO,0.8494315429871316,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,91.3,91.3,Contato prioritario com oferta de retencao e revisao de plano
1415-YFWLT,0.8494315429871316,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,89.3,89.3,Contato prioritario com oferta de retencao e revisao de plano
9248-OJYKK,0.8447821476906472,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,76.45,76.45,Contato prioritario com oferta de retencao e revisao de plano
6023-YEBUP,0.8436750166174588,1,critico,Yes,Month-to-month,3,Fiber optic,Electronic check,100.95,329.95,Contato prioritario com oferta de retencao e revisao de plano
6894-LFHLY,0.8436142684971399,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,75.75,75.75,Contato prioritario com oferta de retencao e revisao de plano
6230-BSUXY,0.8430051108161225,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,85.0,85,Contato prioritario com oferta de retencao e revisao de plano
3158-MOERK,0.8395295794646234,1,critico,Yes,Month-to-month,2,Fiber optic,Electronic check,96.0,174.8,Contato prioritario com oferta de retencao e revisao de plano
9681-OXGVC,0.8387533720497646,1,critico,Yes,Month-to-month,5,Fiber optic,Electronic check,100.5,514,Contato prioritario com oferta de retencao e revisao de plano
0723-DRCLG,0.8387479109616137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,74.45,74.45,Contato prioritario com oferta de retencao e revisao de plano
8473-VUVJN,0.8387479109616137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,73.65,73.65,Contato prioritario com oferta de retencao e revisao de plano
5240-IJOQT,0.8387479109616137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,74.7,74.7,Contato prioritario com oferta de retencao e revisao de plano
3551-HUAZH,0.8387479109616137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,74.4,74.4,Contato prioritario com oferta de retencao e revisao de plano
6513-EECDB,0.8387479109616137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,73.55,73.55,Contato prioritario com oferta de retencao e revisao de plano
1833-VGRUM,0.8387479109616137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,74.2,74.2,Contato prioritario com oferta de retencao e revisao de plano
4102-OQUPX,0.8387479109616137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,74.4,74.4,Contato prioritario com oferta de retencao e revisao de plano
4988-IQIGL,0.8387479109616137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,75.35,75.35,Contato prioritario com oferta de retencao e revisao de plano
0021-IKXGC,0.8379025217520941,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,72.1,72.1,Contato prioritario com oferta de retencao e revisao de plano
7181-BQYBV,0.8373718318966609,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,102.45,102.45,Contato prioritario com oferta de retencao e revisao de plano
4273-MBHYA,0.8338920934828179,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,89.35,89.35,Contato prioritario com oferta de retencao e revisao de plano
9057-SIHCH,0.8337894812132751,1,critico,Yes,Month-to-month,3,Fiber optic,Electronic check,96.6,291.9,Contato prioritario com oferta de retencao e revisao de plano
2725-KXXWT,0.8326977959411137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,90.75,90.75,Contato prioritario com oferta de retencao e revisao de plano
0970-ETWGE,0.8326977959411137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,89.55,89.55,Contato prioritario com oferta de retencao e revisao de plano
7577-SWIFR,0.8326977959411137,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,89.25,89.25,Contato prioritario com oferta de retencao e revisao de plano
3027-ZTDHO,0.8326977959411137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,89.9,89.9,Contato prioritario com oferta de retencao e revisao de plano
3722-WPXTK,0.8326977959411137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,88.35,88.35,Contato prioritario com oferta de retencao e revisao de plano
1941-HOSAM,0.8326977959411137,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,90.1,90.1,Contato prioritario com oferta de retencao e revisao de plano
9725-SCPZG,0.8326977959411137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,90.85,90.85,Contato prioritario com oferta de retencao e revisao de plano
1455-ESIQH,0.8326977959411137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,89.1,89.1,Contato prioritario com oferta de retencao e revisao de plano
7274-RTAPZ,0.8326977959411137,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,90.55,90.55,Contato prioritario com oferta de retencao e revisao de plano
6567-HOOPW,0.8323154713632649,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,79.2,79.2,Contato prioritario com oferta de retencao e revisao de plano
8580-AECUZ,0.8311121339054798,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,79.1,79.1,Contato prioritario com oferta de retencao e revisao de plano
4844-JJWUY,0.8305480952769012,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,86.0,86,Contato prioritario com oferta de retencao e revisao de plano
1400-MMYXY,0.8297979574651653,1,critico,Yes,Month-to-month,3,Fiber optic,Electronic check,105.9,334.65,Contato prioritario com oferta de retencao e revisao de plano
6496-SLWHQ,0.8297979574651653,1,critico,Yes,Month-to-month,3,Fiber optic,Electronic check,105.0,294.45,Contato prioritario com oferta de retencao e revisao de plano
2609-IAICY,0.8288595331960268,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,77.15,77.15,Contato prioritario com oferta de retencao e revisao de plano
5597-GLBUC,0.8270147647564339,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,85.45,85.45,Contato prioritario com oferta de retencao e revisao de plano
2202-CUYXZ,0.8257813506090259,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,84.85,84.85,Contato prioritario com oferta de retencao e revisao de plano
5550-VFRLC,0.8252635729378625,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.85,69.85,Contato prioritario com oferta de retencao e revisao de plano
4871-JTKJF,0.8252635729378625,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.65,69.65,Contato prioritario com oferta de retencao e revisao de plano
8375-DKEBR,0.8252635729378625,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.6,69.6,Contato prioritario com oferta de retencao e revisao de plano
0679-IDSTG,0.8252635729378625,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.25,69.25,Contato prioritario com oferta de retencao e revisao de plano
2636-ALXXZ,0.8252635729378625,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.6,69.6,Contato prioritario com oferta de retencao e revisao de plano
7206-GZCDC,0.8252635729378625,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.25,69.25,Contato prioritario com oferta de retencao e revisao de plano
2506-TNFCO,0.8252635729378625,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.55,69.55,Contato prioritario com oferta de retencao e revisao de plano
5539-TMZLF,0.8240203294416792,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.75,69.75,Contato prioritario com oferta de retencao e revisao de plano
8062-YBDOE,0.8240203294416792,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.65,69.65,Contato prioritario com oferta de retencao e revisao de plano
9124-LHCJQ,0.8235131990022704,1,critico,Yes,Month-to-month,1,Fiber optic,Mailed check,85.45,85.45,Contato prioritario com oferta de retencao e revisao de plano
7180-PISOG,0.8223364714896944,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,74.5,74.5,Contato prioritario com oferta de retencao e revisao de plano
1452-VOQCH,0.8223364714896944,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,75.1,75.1,Contato prioritario com oferta de retencao e revisao de plano
9787-XVQIU,0.8223364714896944,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,75.3,75.3,Contato prioritario com oferta de retencao e revisao de plano
6358-LYNGM,0.8223364714896944,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,74.9,74.9,Contato prioritario com oferta de retencao e revisao de plano
4415-IJZTP,0.8223364714896944,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,74.5,74.5,Contato prioritario com oferta de retencao e revisao de plano
8816-VXNZD,0.8223364714896944,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,75.1,75.1,Contato prioritario com oferta de retencao e revisao de plano
1157-BQCUW,0.8223364714896944,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,74.95,74.95,Contato prioritario com oferta de retencao e revisao de plano
5834-ASPWA,0.8223364714896944,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,75.45,75.45,Contato prioritario com oferta de retencao e revisao de plano
8372-JUXUI,0.8223364714896944,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,74.35,74.35,Contato prioritario com oferta de retencao e revisao de plano
7493-TPUWZ,0.819615138052969,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,79.15,79.15,Contato prioritario com oferta de retencao e revisao de plano
8098-LLAZX,0.8195008593459253,1,critico,Yes,Month-to-month,4,Fiber optic,Electronic check,95.45,396.1,Contato prioritario com oferta de retencao e revisao de plano
2656-TABEH,0.8194320235735176,1,critico,Yes,Month-to-month,4,Fiber optic,Electronic check,100.2,420.2,Contato prioritario com oferta de retencao e revisao de plano
0702-PGIBZ,0.8194320235735176,1,critico,Yes,Month-to-month,4,Fiber optic,Electronic check,101.7,364.55,Contato prioritario com oferta de retencao e revisao de plano
4822-RVYBB,0.819405392563159,1,critico,Yes,Month-to-month,8,Fiber optic,Electronic check,100.6,819.4,Contato prioritario com oferta de retencao e revisao de plano
8884-ADFVN,0.819405392563159,1,critico,Yes,Month-to-month,7,Fiber optic,Electronic check,101.95,700.85,Contato prioritario com oferta de retencao e revisao de plano
6861-XWTWQ,0.819405392563159,1,critico,Yes,Month-to-month,7,Fiber optic,Electronic check,99.25,665.45,Contato prioritario com oferta de retencao e revisao de plano
0781-LKXBR,0.816544523301868,1,critico,Yes,Month-to-month,9,Fiber optic,Electronic check,100.5,918.6,Contato prioritario com oferta de retencao e revisao de plano
5919-TMRGD,0.8153934596405379,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,79.35,79.35,Contato prioritario com oferta de retencao e revisao de plano
5494-HECPR,0.8153934596405379,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,80.25,80.25,Contato prioritario com oferta de retencao e revisao de plano
8058-INTPH,0.8153934596405379,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,79.65,79.65,Contato prioritario com oferta de retencao e revisao de plano
4614-NUVZD,0.8153122140964015,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,81.1,81.1,Contato prioritario com oferta de retencao e revisao de plano
0495-RVCBF,0.8153122140964015,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,79.7,79.7,Contato prioritario com oferta de retencao e revisao de plano
2004-OCQXK,0.8153122140964015,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,81.95,81.95,Contato prioritario com oferta de retencao e revisao de plano
7594-RQHXR,0.8153122140964015,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,79.6,79.6,Contato prioritario com oferta de retencao e revisao de plano
6108-OQZDQ,0.8147129379492623,1,critico,Yes,Month-to-month,4,Fiber optic,Electronic check,97.95,384.5,Contato prioritario com oferta de retencao e revisao de plano
5299-SJCZT,0.8144650792650302,1,critico,Yes,Month-to-month,3,Fiber optic,Bank transfer (automatic),101.55,298.35,Contato prioritario com oferta de retencao e revisao de plano
9300-RENDD,0.8140958100876311,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,79.95,79.95,Contato prioritario com oferta de retencao e revisao de plano
0318-QUUOB,0.8140958100876311,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,80.55,80.55,Contato prioritario com oferta de retencao e revisao de plano
1761-AEZZR,0.8140958100876311,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,79.55,79.55,Contato prioritario com oferta de retencao e revisao de plano
7439-DKZTW,0.8140958100876311,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,80.55,80.55,Contato prioritario com oferta de retencao e revisao de plano
8740-CRYFY,0.8140958100876311,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,78.95,78.95,Contato prioritario com oferta de retencao e revisao de plano
2514-GINMM,0.8140958100876311,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,79.5,79.5,Contato prioritario com oferta de retencao e revisao de plano
5960-WPXQM,0.8140958100876311,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,79.05,79.05,Contato prioritario com oferta de retencao e revisao de plano
6457-USBER,0.814014123709947,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,80.8,80.8,Contato prioritario com oferta de retencao e revisao de plano
2868-MZAGQ,0.814014123709947,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,79.25,79.25,Contato prioritario com oferta de retencao e revisao de plano
2018-QKYGT,0.814014123709947,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,81.05,81.05,Contato prioritario com oferta de retencao e revisao de plano
8051-HJRLT,0.8136301730329125,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,70.55,70.55,Contato prioritario com oferta de retencao e revisao de plano
7409-KIUTL,0.8136301730329125,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,71.0,71,Contato prioritario com oferta de retencao e revisao de plano
3878-AVSOQ,0.8136301730329125,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,71.25,71.25,Contato prioritario com oferta de retencao e revisao de plano
8000-REIQB,0.8136301730329125,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.95,69.95,Contato prioritario com oferta de retencao e revisao de plano
9488-HGMJH,0.8136301730329125,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,71.15,71.15,Contato prioritario com oferta de retencao e revisao de plano
9605-WGJVW,0.8136301730329125,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,70.2,70.2,Contato prioritario com oferta de retencao e revisao de plano
1846-XWOQN,0.8136301730329125,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,70.15,70.15,Contato prioritario com oferta de retencao e revisao de plano
7503-ZGUZJ,0.8133926661535086,1,critico,Yes,Month-to-month,1,Fiber optic,Mailed check,84.65,84.65,Contato prioritario com oferta de retencao e revisao de plano
1363-TXLSL,0.8123229816971856,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,70.3,70.3,Contato prioritario com oferta de retencao e revisao de plano
8644-XLFBW,0.8123229816971856,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,71.65,71.65,Contato prioritario com oferta de retencao e revisao de plano
9603-OAIHC,0.8123229816971856,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,70.05,70.05,Contato prioritario com oferta de retencao e revisao de plano
1628-BIZYP,0.8121797350167436,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,85.0,85,Contato prioritario com oferta de retencao e revisao de plano
9305-CDSKC,0.812084682347797,1,critico,Yes,Month-to-month,8,Fiber optic,Electronic check,99.65,820.5,Contato prioritario com oferta de retencao e revisao de plano
5167-ZFFMM,0.8115650720368699,1,critico,Yes,Month-to-month,1,Fiber optic,Credit card (automatic),90.85,90.85,Contato prioritario com oferta de retencao e revisao de plano
4424-TKOPW,0.8113800048613065,1,critico,Yes,Month-to-month,2,Fiber optic,Electronic check,93.85,196.75,Contato prioritario com oferta de retencao e revisao de plano
7024-OHCCK,0.8113800048613065,1,critico,Yes,Month-to-month,2,Fiber optic,Electronic check,93.85,170.85,Contato prioritario com oferta de retencao e revisao de plano
2720-WGKHP,0.8113800048613065,1,critico,Yes,Month-to-month,2,Fiber optic,Electronic check,94.0,181.7,Contato prioritario com oferta de retencao e revisao de plano
2968-SSGAA,0.8079702115530342,1,critico,Yes,Month-to-month,10,Fiber optic,Electronic check,100.6,1060.2,Contato prioritario com oferta de retencao e revisao de plano
5567-WSELE,0.8063586886065147,1,critico,Yes,Month-to-month,3,Fiber optic,Electronic check,94.6,279.55,Contato prioritario com oferta de retencao e revisao de plano
5150-ITWWB,0.8063586886065147,1,critico,No,Month-to-month,3,Fiber optic,Electronic check,94.85,335.75,Contato prioritario com oferta de retencao e revisao de plano
1455-UGQVH,0.8060486281088312,1,critico,Yes,Month-to-month,10,Fiber optic,Electronic check,98.5,1037.75,Contato prioritario com oferta de retencao e revisao de plano
2982-IHMFT,0.8046782372059785,1,critico,Yes,Month-to-month,1,Fiber optic,Mailed check,74.45,74.45,Contato prioritario com oferta de retencao e revisao de plano
1374-DMZUI,0.8005399532839752,1,critico,Yes,Month-to-month,4,Fiber optic,Electronic check,94.3,424.45,Contato prioritario com oferta de retencao e revisao de plano
2446-BEGGB,0.8002788744420936,1,critico,Yes,Month-to-month,6,Fiber optic,Electronic check,98.25,560.6,Contato prioritario com oferta de retencao e revisao de plano
7851-WZEKY,0.7999628263713592,1,critico,Yes,Month-to-month,2,Fiber optic,Electronic check,95.15,196.9,Contato prioritario com oferta de retencao e revisao de plano
5277-ZLOOR,0.7995994669431206,1,critico,Yes,Month-to-month,2,Fiber optic,Electronic check,85.55,187.45,Contato prioritario com oferta de retencao e revisao de plano
0235-KGSLC,0.7982242420811302,1,critico,Yes,Month-to-month,1,Fiber optic,Credit card (automatic),85.55,85.55,Contato prioritario com oferta de retencao e revisao de plano
5186-SAMNZ,0.7966688312387137,1,critico,Yes,Month-to-month,1,Fiber optic,Bank transfer (automatic),69.5,69.5,Contato prioritario com oferta de retencao e revisao de plano
4695-WJZUE,0.7963842477092391,1,critico,Yes,Month-to-month,2,Fiber optic,Electronic check,88.55,179.25,Contato prioritario com oferta de retencao e revisao de plano
7120-RFMVS,0.7961879458410306,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,84.5,84.5,Contato prioritario com oferta de retencao e revisao de plano
3389-YGYAI,0.796081137072491,1,critico,Yes,Month-to-month,8,Fiber optic,Electronic check,105.5,829.55,Contato prioritario com oferta de retencao e revisao de plano
1977-STDKI,0.795878490747595,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,73.0,73,Contato prioritario com oferta de retencao e revisao de plano
6996-KNSML,0.79548958594424,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,74.9,74.9,Contato prioritario com oferta de retencao e revisao de plano
3244-DCJWY,0.7952863065670411,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,70.25,70.25,Contato prioritario com oferta de retencao e revisao de plano
5376-DEQCP,0.7952863065670411,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,70.6,70.6,Contato prioritario com oferta de retencao e revisao de plano
5134-IKDAY,0.7952863065670411,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.8,69.8,Contato prioritario com oferta de retencao e revisao de plano
1640-PLFMP,0.7952863065670411,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,70.25,70.25,Contato prioritario com oferta de retencao e revisao de plano
4550-EVXNY,0.7952863065670411,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.65,69.65,Contato prioritario com oferta de retencao e revisao de plano
6653-CBBOM,0.7952863065670411,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,70.3,70.3,Contato prioritario com oferta de retencao e revisao de plano
7665-TOALD,0.7952863065670411,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.6,69.6,Contato prioritario com oferta de retencao e revisao de plano
9728-FTTVZ,0.7952863065670411,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.2,69.2,Contato prioritario com oferta de retencao e revisao de plano
4806-HIPDW,0.7952863065670411,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,68.95,68.95,Contato prioritario com oferta de retencao e revisao de plano
0328-GRPMV,0.7952863065670411,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,70.1,70.1,Contato prioritario com oferta de retencao e revisao de plano
1031-IIDEO,0.7952863065670411,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,70.85,70.85,Contato prioritario com oferta de retencao e revisao de plano
4702-IOQDC,0.7952863065670411,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,70.1,70.1,Contato prioritario com oferta de retencao e revisao de plano
0488-GSLFR,0.7952863065670411,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.5,69.5,Contato prioritario com oferta de retencao e revisao de plano
7660-HDPJV,0.7952863065670411,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.2,69.2,Contato prioritario com oferta de retencao e revisao de plano
5275-SQEIZ,0.7950418619926882,1,critico,Yes,Month-to-month,1,Fiber optic,Mailed check,80.85,80.85,Contato prioritario com oferta de retencao e revisao de plano
5052-PNLOS,0.7947717720078982,1,critico,Yes,Month-to-month,3,Fiber optic,Bank transfer (automatic),105.35,323.25,Contato prioritario com oferta de retencao e revisao de plano
8380-PEFPE,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,71.65,71.65,Contato prioritario com oferta de retencao e revisao de plano
9804-ICWBG,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.9,69.9,Contato prioritario com oferta de retencao e revisao de plano
1820-TQVEV,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.55,69.55,Contato prioritario com oferta de retencao e revisao de plano
5875-YPQFJ,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.9,69.9,Contato prioritario com oferta de retencao e revisao de plano
3494-JCHRQ,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,70.05,70.05,Contato prioritario com oferta de retencao e revisao de plano
1447-GIQMR,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.15,69.15,Contato prioritario com oferta de retencao e revisao de plano
1853-UDXBW,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,70.0,70,Contato prioritario com oferta de retencao e revisao de plano
7465-ZZRVX,0.7938830462632703,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,70.35,70.35,Contato prioritario com oferta de retencao e revisao de plano
4603-JANFB,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.85,69.85,Contato prioritario com oferta de retencao e revisao de plano
2446-PLQVO,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,70.3,70.3,Contato prioritario com oferta de retencao e revisao de plano
4510-HIMLV,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.8,69.8,Contato prioritario com oferta de retencao e revisao de plano
6502-MJQAE,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.6,69.6,Contato prioritario com oferta de retencao e revisao de plano
3422-LYEPQ,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,71.0,71,Contato prioritario com oferta de retencao e revisao de plano
6457-GIRWB,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.35,69.35,Contato prioritario com oferta de retencao e revisao de plano
6416-TVAIH,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,68.5,68.5,Contato prioritario com oferta de retencao e revisao de plano
3428-XZMAZ,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.35,69.35,Contato prioritario com oferta de retencao e revisao de plano
5542-TBBWB,0.7938830462632703,1,critico,No,Month-to-month,1,Fiber optic,Electronic check,69.9,69.9,Contato prioritario com oferta de retencao e revisao de plano
7254-IQWOZ,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.65,69.65,Contato prioritario com oferta de retencao e revisao de plano
3716-BDVDB,0.7938830462632703,1,critico,Yes,Month-to-month,1,Fiber optic,Electronic check,69.1,69.1,Contato prioritario com oferta de retencao e revisao de plano
1875-QIVME,0.7937492521257438,1,critico,Yes,Month-to-month,2,Fiber optic,Electronic check,104.4,242.8,Contato prioritario com oferta de retencao e revisao de plano
4587-VVTOX,0.7932611536976298,1,critico,Yes,Month-to-month,6,Fiber optic,Electronic check,105.3,545.2,Contato prioritario com oferta de retencao e revisao de plano
3049-SOLAY,0.7931561153942426,1,critico,Yes,Month-to-month,3,Fiber optic,Electronic check,95.2,292.85,Contato prioritario com oferta de retencao e revisao de plano
